Variable,Term,Beta,StandardError,Z,P,LRT,Wald,LogRank,HR,HRlower,HRupper
ILMN_1682594,ILMN_1682594,0.520884807,0.120338313,4.328503478,1.50E-05,1.64E-05,1.50E-05,1.45E-05,1.683516578,1.329796665,2.131324392
ILMN_1704797,ILMN_1704797,0.680584809,0.155829435,4.36749841,1.26E-05,4.92E-05,1.26E-05,1.49E-05,1.975032412,1.455231114,2.680504142
ILMN_1704084,ILMN_1704084,0.481954268,0.112378024,4.288687876,1.80E-05,0.000224002,1.80E-05,1.59E-05,1.619235733,1.299133351,2.018210338
ILMN_1689518,ILMN_1689518,0.527406557,0.120748899,4.367796001,1.26E-05,5.83E-05,1.26E-05,1.62E-05,1.694531932,1.337420908,2.146996844
ILMN_1673805,ILMN_1673805,0.510716274,0.117643777,4.341209451,1.42E-05,2.00E-05,1.42E-05,1.81E-05,1.666484428,1.323313356,2.098649074
ILMN_1688250,ILMN_1688250,0.44366126,0.102947517,4.309586787,1.64E-05,2.19E-05,1.64E-05,1.86E-05,1.558402503,1.273651325,1.906815716
ILMN_1775708,ILMN_1775708,0.473597907,0.111164402,4.260337834,2.04E-05,6.39E-05,2.04E-05,1.90E-05,1.605761191,1.291390678,1.996660691
ILMN_1860672,ILMN_1860672,-0.514231123,0.120307496,-4.274306571,1.92E-05,1.11E-05,1.92E-05,1.90E-05,0.597960176,0.472352626,0.756969163
ILMN_1720048,ILMN_1720048,0.53800362,0.127762445,4.210968398,2.54E-05,8.22E-05,2.54E-05,1.95E-05,1.712584478,1.33321568,2.199903315
ILMN_1916223,ILMN_1916223,0.398227239,0.097362571,4.090147126,4.31E-05,0.00168478,4.31E-05,2.21E-05,1.489182392,1.230474795,1.802283319
ILMN_1699574,ILMN_1699574,0.434885427,0.102530991,4.241502224,2.22E-05,7.83E-05,2.22E-05,2.23E-05,1.544786058,1.26355399,1.888612584
ILMN_1788532,ILMN_1788532,-0.515887309,0.121826627,-4.234602262,2.29E-05,5.27E-06,2.29E-05,2.24E-05,0.596970662,0.470168984,0.757969973
ILMN_1811238,ILMN_1811238,0.423999994,0.103831486,4.08353967,4.44E-05,0.000414729,4.44E-05,2.38E-05,1.528061584,1.246692469,1.872933593
ILMN_1809364,ILMN_1809364,0.555167324,0.135444415,4.098857275,4.15E-05,0.000348343,4.15E-05,2.42E-05,1.742232478,1.336028156,2.271938651
